ms,type,side,price,qty,uid
33900,NEW,1,307,3902,1
33900,NEW,1,1097,6058,2
33900,NEW,1,3185,7773,3
33900,NEW,1,3495,1125,4
33900,NEW,1,3733,1735,5
33900,NEW,1,7897,2526,6
33900,NEW,1,8900,3390,7
33900,NEW,1,40000,3996,8
33900,NEW,0,7830,888,9
33901,NEW,1,125800,307,10
33902,NEW,1,2485,4061,11
33903,NEW,1,1814,7974,12
33903,NEW,1,2722,9860,13
33903,NEW,1,3868,3477,14
33903,NEW,1,5324,4283,15
34200,NEW,1,306,293,16
34200,NEW,1,1096,3166,17
34200,NEW,1,1814,3,18
34200,NEW,1,3177,4587,19
34200,NEW,1,3490,231,20
34200,NEW,1,5324,18,21
34200,NEW,1,7890,587,22
34200,CANCEL,0,0,0,9
34200,NEW,1,8900,986,23
34200,NEW,1,39980,1175,24
34200,CANCEL,0,0,0,4
34200,NEW,0,2724,233,25
34200,NEW,0,3735,538,26
34200,NEW,0,3868,52,27
34200,CANCEL,0,0,0,16
34200,NEW,0,7831,216,28
34200,CANCEL,0,0,0,3
34201,NEW,0,125808,6,29
34202,NEW,1,2485,239,30
34203,NEW,1,1094,6431,31
34203,CANCEL,0,0,0,10
34203,NEW,1,3175,6077,32
34203,NEW,1,5324,734,33
34203,NEW,1,8901,2383,34
34203,NEW,0,307,2027,35
34203,NEW,0,1817,206,36
34203,NEW,0,2725,1279,37
34203,NEW,0,3492,402,38
34203,NEW,0,3736,639,39
34203,NEW,0,3868,52,40
34203,NEW,0,7840,320,41
34203,NEW,0,7897,2020,42
34203,NEW,0,39998,977,43
34204,NEW,1,125801,32,44
34204,CANCEL,0,0,0,30
34205,NEW,0,2486,672,45
34205,CANCEL,0,0,0,28
34206,NEW,1,306,593,46
34206,NEW,1,1094,1397,47
34206,NEW,1,7897,786,48
34206,NEW,1,8902,845,49
34206,NEW,1,39982,866,50
34206,NEW,0,1818,862,51
34206,NEW,0,2726,1378,52
34206,NEW,0,3174,2004,53
34206,NEW,0,3494,477,54
34206,NEW,0,3736,347,55
34206,NEW,0,3870,731,56
34206,NEW,0,5328,526,57
34206,NEW,0,7845,591,58
34206,CANCEL,0,0,0,20
34207,NEW,1,125800,43,59
34208,NEW,1,2485,521,60
34209,NEW,1,306,374,61
34209,NEW,1,1093,350,62
34209,NEW,1,3735,716,63
34209,NEW,1,5327,582,64
34209,NEW,1,8898,513,65
34209,NEW,0,1819,748,66
34209,NEW,0,2724,2100,67
34209,NEW,0,3177,3269,68
34209,NEW,0,3495,1027,69
34209,NEW,0,3872,615,70
34209,NEW,0,7851,114,71
34209,CANCEL,0,0,0,49
34209,NEW,0,7906,437,72
34209,NEW,0,39998,245,73
34210,NEW,0,125801,49,74
34211,NEW,1,2482,588,75
34212,NEW,1,306,318,76
34212,NEW,1,1092,679,77
34212,NEW,1,1818,1104,78
34212,NEW,1,3174,600,79
34212,NEW,1,3734,436,80
34212,NEW,1,3871,499,81
34212,NEW,1,8895,1275,82
34212,NEW,0,2726,1633,83
34212,CANCEL,0,0,0,50
34212,NEW,0,3495,912,84
34212,NEW,0,5329,1076,85
34212,CANCEL,0,0,0,83
34212,NEW,0,7861,80,86
34212,NEW,0,7912,494,87
34212,NEW,0,39999,538,88
34213,NEW,0,125872,75,89
34214,NEW,0,2482,671,90
34215,NEW,1,306,78,91
34215,NEW,1,1092,573,92
34215,NEW,1,1818,410,93
34215,NEW,1,3494,410,94
34215,NEW,1,3734,1607,95
34215,NEW,1,3870,455,96
